Buffer Access with Incorrect Length Value in radareorg/radare2,CVE-2022-0519,CWE-805: Buffer Access with Incorrect Length Value,"
R_API RBinJavaAttrInfo *r_bin_java_enclosing_methods_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut64 offset = 6;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 if (!attr || sz < 10) {
  free (attr);

R_API RBinJavaAttrInfo *r_bin_java_inner_classes_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 RBinJavaClassesAttribute *icattr;

 RBinJavaCPTypeObj *obj;
 ut32 i = 0;
 ut64 offset = 0, curpos;
 if (sz < 8) {



  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 if (!attr) {
  return NULL;
 }
 offset += 6;
 attr->type = R_BIN_JAVA_ATTR_TYPE_INNER_CLASSES_ATTR;
 attr->info.inner_classes_attr.number_of_classes = R_BIN_JAVA_USHORT (buffer, offset);
 offset += 2;
 attr->info.inner_classes_attr.classes = r_list_newf (r_bin_java_inner_classes_attr_entry_free);
 for (i = 0; i < attr->info.inner_classes_attr.number_of_classes; i++) {
  curpos = buf_offset + offset;
  if (offset + 8 > sz) {
   eprintf (""Invalid amount of inner classes\n"");
   break;
  }

R_API RBinJavaAttrInfo *r_bin_java_source_debug_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut64 offset = 6;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 if (!attr) {
  return NULL;
R_API RBinJavaAttrInfo *r_bin_java_local_variable_table_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 RBinJavaLocalVariableAttribute *lvattr;
 ut64 curpos = 0, offset = 6;

 ut32 i = 0;
 if (!bin || !buffer || sz < 8) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 if (!attr) {
  return NULL;
 }
}

R_API RBinJavaAttrInfo *r_bin_java_local_variable_type_table_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 if (sz < 8) {
  return NULL;
 }
 RBinJavaLocalVariableTypeAttribute *lvattr;
 ut64 offset = 6;
 ut32 i = 0;
}

R_API RBinJavaAttrInfo *r_bin_java_source_code_file_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 if (!sz || sz == UT64_MAX) {
  return NULL;
 }
#if 0
 /// XXX this breaks tests
 if (sz < 8) {
  return NULL;
 }
#endif
 ut64 offset = 0;
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 offset += 6;
 if (attr) {
  attr->type = R_BIN_JAVA_ATTR_TYPE_SOURCE_FILE_ATTR;
  attr->info.source_file_attr.sourcefile_idx = R_BIN_JAVA_USHORT (buffer, offset);
  offset += 2;
  attr->size = offset;
  // IFDBG r_bin_java_print_source_code_file_attr_summary(attr);
 }






 return attr;
}

}

R_API RBinJavaAttrInfo *r_bin_java_synthetic_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 if (sz < 8) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 if (!attr) {
  return NULL;
 }

 attr->type = R_BIN_JAVA_ATTR_TYPE_SYNTHETIC_ATTR;
 attr->size = 6;
 return attr;
}


R_API RBinJavaVerificationObj *r_bin_java_verification_info_from_type(RBinJavaObj *bin, R_BIN_JAVA_STACKMAP_TYPE type, ut32 value) {
 RBinJavaVerificationObj *se = R_NEW0 (RBinJavaVerificationObj);
 if (se) {
  se->tag = type;
  if (se->tag == R_BIN_JAVA_STACKMAP_OBJECT) {
   se->info.obj_val_cp_idx = (ut16) value;
  } else if (se->tag == R_BIN_JAVA_STACKMAP_UNINIT) {
   se->info.uninit_offset = (ut16) value;
  }






 }
 return se;
}

R_API RBinJavaVerificationObj *r_bin_java_read_from_buffer_verification_info_new(ut8 *buffer, ut64 sz, ut64 buf_offset) {
 if (sz < 8) {
  return NULL;
 }
 ut64 offset = 0;
 RBinJavaVerificationObj *se = R_NEW0 (RBinJavaVerificationObj);
 if (!se) {
}

R_API RBinJavaStackMapFrame *r_bin_java_stack_map_frame_new(ut8 *buffer, ut64 sz, RBinJavaStackMapFrame *p_frame, ut64 buf_offset) {
 if (sz < 8) {
  return NULL;
 }
 RBinJavaStackMapFrame *stack_frame = r_bin_java_default_stack_frame ();
 RBinJavaVerificationObj *se = NULL;
 ut64 offset = 0;
R_API RBinJavaAttrInfo *r_bin_java_stack_map_table_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut32 i = 0;
 ut64 offset = 0;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaStackMapFrame *stack_frame = NULL, *new_stack_frame = NULL;
 if (sz < 10) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 offset += 6;
 IFDBG eprintf (""r_bin_java_stack_map_table_attr_new: New stack map allocated.\n"");
 if (!attr) {
  return NULL;
 }

R_API RBinJavaAttrInfo *r_bin_java_annotation_default_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut64 offset = 0;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 offset += 6;
 if (attr && sz >= offset) {
  attr->type = R_BIN_JAVA_ATTR_TYPE_ANNOTATION_DEFAULT_ATTR;

R_API RBinJavaAnnotation *r_bin_java_annotation_new(ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut32 i = 0;

 RBinJavaElementValuePair *evps = NULL;
 ut64 offset = 0;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaAnnotation *annotation = R_NEW0 (RBinJavaAnnotation);
 if (!annotation) {
  return NULL;
 }
}

R_API ut64 r_bin_java_element_pair_calc_size(RBinJavaElementValuePair *evp) {
 ut64 sz = 2;
 if (evp && evp->value) {
  // evp->element_name_idx = r_bin_java_read_short(bin, bin->b->cur);
  // evp->value = r_bin_java_element_value_new (bin, offset+2);




  sz += r_bin_java_element_value_calc_size (evp->value);
 }
 return sz;
R_API RBinJavaElementValue *r_bin_java_element_value_new(ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut32 i = 0;
 ut64 offset = 0;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaElementValue *element_value = R_NEW0 (RBinJavaElementValue);
 if (!element_value) {
  return NULL;
R_API RBinJavaAttrInfo *r_bin_java_rtv_annotations_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut32 i = 0;
 ut64 offset = 0;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
"
Use After Free in radareorg/radare2,CVE-2022-0520,CWE-416: Use After Free,"  break;
 case TYPE_UNKNOWN:
  eprintf (""Get not implemented for type 0x%x\n"", type);
  // r_list_pop (refs);
  free_object (ret);
  return NULL;
 case 0:
"
Access of Memory Location After End of Buffer in radareorg/radare2,CVE-2022-0521,CWE-788: Access of Memory Location After End of Buffer,"
R_API RBinJavaAttrInfo *r_bin_java_enclosing_methods_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut64 offset = 6;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 if (!attr || sz < 10) {
  free (attr);

R_API RBinJavaAttrInfo *r_bin_java_inner_classes_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 RBinJavaClassesAttribute *icattr;

 RBinJavaCPTypeObj *obj;
 ut32 i = 0;
 ut64 offset = 0, curpos;
 if (sz < 8) {



  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 if (!attr) {
  return NULL;
 }
 offset += 6;
 attr->type = R_BIN_JAVA_ATTR_TYPE_INNER_CLASSES_ATTR;
 attr->info.inner_classes_attr.number_of_classes = R_BIN_JAVA_USHORT (buffer, offset);
 offset += 2;
 attr->info.inner_classes_attr.classes = r_list_newf (r_bin_java_inner_classes_attr_entry_free);
 for (i = 0; i < attr->info.inner_classes_attr.number_of_classes; i++) {
  curpos = buf_offset + offset;
  if (offset + 8 > sz) {
   eprintf (""Invalid amount of inner classes\n"");
   break;
  }

R_API RBinJavaAttrInfo *r_bin_java_source_debug_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut64 offset = 6;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 if (!attr) {
  return NULL;
R_API RBinJavaAttrInfo *r_bin_java_local_variable_table_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 RBinJavaLocalVariableAttribute *lvattr;
 ut64 curpos = 0, offset = 6;

 ut32 i = 0;
 if (!bin || !buffer || sz < 8) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 if (!attr) {
  return NULL;
 }
}

R_API RBinJavaAttrInfo *r_bin_java_local_variable_type_table_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 if (sz < 8) {
  return NULL;
 }
 RBinJavaLocalVariableTypeAttribute *lvattr;
 ut64 offset = 6;
 ut32 i = 0;
}

R_API RBinJavaAttrInfo *r_bin_java_source_code_file_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 if (!sz || sz == UT64_MAX) {
  return NULL;
 }
#if 0
 /// XXX this breaks tests
 if (sz < 8) {
  return NULL;
 }
#endif
 ut64 offset = 0;
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 offset += 6;
 if (attr) {
  attr->type = R_BIN_JAVA_ATTR_TYPE_SOURCE_FILE_ATTR;
  attr->info.source_file_attr.sourcefile_idx = R_BIN_JAVA_USHORT (buffer, offset);
  offset += 2;
  attr->size = offset;
  // IFDBG r_bin_java_print_source_code_file_attr_summary(attr);
 }






 return attr;
}

}

R_API RBinJavaAttrInfo *r_bin_java_synthetic_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 if (sz < 8) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 if (!attr) {
  return NULL;
 }

 attr->type = R_BIN_JAVA_ATTR_TYPE_SYNTHETIC_ATTR;
 attr->size = 6;
 return attr;
}


R_API RBinJavaVerificationObj *r_bin_java_verification_info_from_type(RBinJavaObj *bin, R_BIN_JAVA_STACKMAP_TYPE type, ut32 value) {
 RBinJavaVerificationObj *se = R_NEW0 (RBinJavaVerificationObj);
 if (se) {
  se->tag = type;
  if (se->tag == R_BIN_JAVA_STACKMAP_OBJECT) {
   se->info.obj_val_cp_idx = (ut16) value;
  } else if (se->tag == R_BIN_JAVA_STACKMAP_UNINIT) {
   se->info.uninit_offset = (ut16) value;
  }






 }
 return se;
}

R_API RBinJavaVerificationObj *r_bin_java_read_from_buffer_verification_info_new(ut8 *buffer, ut64 sz, ut64 buf_offset) {
 if (sz < 8) {
  return NULL;
 }
 ut64 offset = 0;
 RBinJavaVerificationObj *se = R_NEW0 (RBinJavaVerificationObj);
 if (!se) {
}

R_API RBinJavaStackMapFrame *r_bin_java_stack_map_frame_new(ut8 *buffer, ut64 sz, RBinJavaStackMapFrame *p_frame, ut64 buf_offset) {
 if (sz < 8) {
  return NULL;
 }
 RBinJavaStackMapFrame *stack_frame = r_bin_java_default_stack_frame ();
 RBinJavaVerificationObj *se = NULL;
 ut64 offset = 0;
R_API RBinJavaAttrInfo *r_bin_java_stack_map_table_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut32 i = 0;
 ut64 offset = 0;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaStackMapFrame *stack_frame = NULL, *new_stack_frame = NULL;
 if (sz < 10) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 offset += 6;
 IFDBG eprintf (""r_bin_java_stack_map_table_attr_new: New stack map allocated.\n"");
 if (!attr) {
  return NULL;
 }

R_API RBinJavaAttrInfo *r_bin_java_annotation_default_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut64 offset = 0;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 offset += 6;
 if (attr && sz >= offset) {
  attr->type = R_BIN_JAVA_ATTR_TYPE_ANNOTATION_DEFAULT_ATTR;

R_API RBinJavaAnnotation *r_bin_java_annotation_new(ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut32 i = 0;

 RBinJavaElementValuePair *evps = NULL;
 ut64 offset = 0;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaAnnotation *annotation = R_NEW0 (RBinJavaAnnotation);
 if (!annotation) {
  return NULL;
 }
}

R_API ut64 r_bin_java_element_pair_calc_size(RBinJavaElementValuePair *evp) {
 ut64 sz = 2;
 if (evp && evp->value) {
  // evp->element_name_idx = r_bin_java_read_short(bin, bin->b->cur);
  // evp->value = r_bin_java_element_value_new (bin, offset+2);




  sz += r_bin_java_element_value_calc_size (evp->value);
 }
 return sz;
R_API RBinJavaElementValue *r_bin_java_element_value_new(ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut32 i = 0;
 ut64 offset = 0;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaElementValue *element_value = R_NEW0 (RBinJavaElementValue);
 if (!element_value) {
  return NULL;
R_API RBinJavaAttrInfo *r_bin_java_rtv_annotations_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut32 i = 0;
 ut64 offset = 0;
 if (sz < 8) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
"
Access of Memory Location Before Start of Buffer in radareorg/radare2,CVE-2022-0522,CWE-786: Access of Memory Location Before Start of Buffer,"
#define VEC64(n) insn->detail->arm64.operands[n].vess
#define VEC64_APPEND(sb, n, i) vector64_append(sb, handle, insn, n, i)
#define VEC64_MASK(sh, sz) (bitmask_by_width[63]^(bitmask_by_width[sz>0?sz-1:0]<<sh))

static void vector64_append(RStrBuf *sb, csh *handle, cs_insn *insn, int n, int i) {
 cs_arm64_op op = INSOP64 (n);
   shift -= 64;
   regc = ""h"";
  }

  if (shift > 0 && shift < 64) {
   r_strbuf_appendf (sb, ""%d,SWAP,0x%""PFMT64x"",&,<<,%s%s,0x%""PFMT64x"",&,|,%s%s"",
    shift, mask, REG64 (n), regc, VEC64_MASK (shift, size), REG64 (n), regc);
"
Expired Pointer Dereference in radareorg/radare2,CVE-2022-0523,CWE-825: Expired Pointer Dereference,"/* radare - LGPL3 - Copyright 2016-2022 - Matthieu (c0riolis) Tardy - l0stb1t */

#include <r_io.h>
#include <r_bin.h>
#define if_true_return(cond,ret) if(cond){return(ret);}

// TODO: kill globals
static R_TH_LOCAL ut32 magic_int;
static R_TH_LOCAL ut32 symbols_ordinal = 0;
static R_TH_LOCAL RList *refs = NULL; // If you don't have a good reason, do not change this. And also checkout !refs in get_code_object()

/* interned_table is used to handle TYPE_INTERNED object */
extern RList *interned_table;
 }
 for (i = 0; i < size; i++) {
  tmp = get_object (buffer);
  if (!tmp || !r_list_append (ret->data, tmp)) {





   free_object (tmp);
   ((RList*)ret->data)->free = NULL;
   r_list_free (ret->data);
   free (ret);
   return NULL;
}

/* small TYPE_SMALL_TUPLE doesn't exist in python2 */

static pyc_object *get_small_tuple_object(RBuffer *buffer) {
 pyc_object *ret = NULL;
 bool error = false;
}

static pyc_object *get_tuple_object(RBuffer *buffer) {

 bool error = false;
 ut32 n = get_ut32 (buffer, &error);


 if (n > ST32_MAX) {
  eprintf (""bad marshal data (tuple size out of range)\n"");
  return NULL;
 }
 if (error) {
  return NULL;
 }
 pyc_object *ret = get_array_object_generic (buffer, n);
 if (ret) {
  ret->type = TYPE_TUPLE;

 }
 return ret;
}

static pyc_object *get_list_object(RBuffer *buffer) {
 pyc_object *ret = NULL;
 bool error = false;
 ut32 n = get_ut32 (buffer, &error);


 if (n > ST32_MAX) {
  eprintf (""bad marshal data (list size out of range)\n"");
  return NULL;
}

static pyc_object *get_set_object(RBuffer *buffer) {

 bool error = false;
 ut32 n = get_ut32 (buffer, &error);
 if (n > ST32_MAX) {
 if (error) {
  return NULL;
 }
 pyc_object *ret = get_array_object_generic (buffer, n);
 if (ret) {
  ret->type = TYPE_SET;
 }

 return ret;
}

"
Out-of-bounds Read in mruby/mruby,CVE-2022-0525,CWE-125: Out-of-bounds Read,"          }
        }
        if (tree->cdr->car) {       /* keyword arguments */
          if (n == 14) {
            pop_n(n);
            genop_2(s, OP_ARRAY, cursp(), n);
            push();
            n = 15;
          }
          gen_hash(s, tree->cdr->car->cdr, VAL, 0);
          if (n < 14) {
            n++;

          }
          else {
            pop_n(2);
            genop_2(s, OP_ARYPUSH, cursp(), 1);
          }
          push();
        }
      }
      if (rhs) {
"
Use of Out-of-range Pointer Offset in vim/vim,CVE-2022-0554,CWE-823: Use of Out-of-range Pointer Offset,"  buf = buflist_findnr(curwin->w_jumplist[jumpidx].fmark.fnum);
  if (buf != NULL)
  {
      // Skip current and unlisted bufs.  Also skip a quickfix
      // buffer, it might be deleted soon.
      if (buf == curbuf || !buf->b_p_bl
#if defined(FEAT_QUICKFIX)
       || bt_quickfix(buf)
#endif
       )
   buf = NULL;
      else if (buf->b_ml.ml_mfp == NULL)
      {
   // skip unloaded buf, but may keep it for later
      continue;
  }
  // in non-help buffer, try to skip help buffers, and vv
  if (buf->b_help == curbuf->b_help && buf->b_p_bl
#if defined(FEAT_QUICKFIX)
       && !bt_quickfix(buf)
#endif
      )
  {
      if (buf->b_ml.ml_mfp != NULL)   // found loaded buffer
   break;
 if (buf == NULL) // No loaded buffer, find listed one
 {
     FOR_ALL_BUFFERS(buf)
  if (buf->b_p_bl && buf != curbuf
#if defined(FEAT_QUICKFIX)
       && !bt_quickfix(buf)
#endif
         )
      break;
 }
 if (buf == NULL) // Still no buffer, just take one
  buf = curbuf->b_next;
     else
  buf = curbuf->b_prev;
#if defined(FEAT_QUICKFIX)
     if (bt_quickfix(buf))
  buf = NULL;
#endif
 }
    }

  delfunc R
endfunc

"" Another sequence of commands that caused all buffers to be wiped out
func Test_lopen_bwipe_all()
  let lines =<< trim END
    func R()
      silent! tab lopen
      e foo
      silent! lfile
    endfunc
    cal R()
    exe ""norm \<C-W>\<C-V>0""
    cal R()
    bwipe

    call writefile(['done'], 'Xresult')
    qall!
  END
  call writefile(lines, 'Xscript')
  if RunVim([], [], '-u NONE -n -X -Z -e -m -s -S Xscript')
    call assert_equal(['done'], readfile('Xresult'))
  endif

  call delete('Xscript')
  call delete('Xresult')
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4327,
/**/
    4326,
/**/
"
Use After Free in radareorg/radare2,CVE-2022-0559,CWE-416: Use After Free,"  r_io_submap_set_to (bd, r_io_submap_from (sm) - 1);
  entry = r_rbnode_next (entry);
 }
 ut64 smto = r_io_submap_to (sm);
 while (entry && r_io_submap_to (((RIOSubMap *)entry->data)) <= smto) {
  //delete all submaps that are completly included in sm
  RRBNode *next = r_rbnode_next (entry);
  // this can be optimized, there is no need to do search here
  // XXX this is a workaround to avoid an UAF in Reproducer: iobank-crash
  void *smfree = bank->submaps->free;
  bank->submaps->free = NULL;
  bool a = r_crbtree_delete (bank->submaps, entry->data, _find_sm_by_from_vaddr_cb, NULL);
  bank->submaps->free = smfree;
  if (!a) {
   entry = NULL;
   break;
  }
  entry = next;
 r_return_val_if_fail (tree && data && cmp, false);
 bool inserted = false;

 if (!tree->root) {
  tree->root = _node_new (data, NULL);
  if (!tree->root) {
   return false;
  }
  inserted = true;
"
Heap-based Buffer Overflow in mruby/mruby,CVE-2022-0570,CWE-122: Heap-based Buffer Overflow,"  while (t) {
    int is_splat = nint(t->car->car) == NODE_SPLAT;

    if (is_splat || cursp() >= slimit) { /* flush stack */
      pop_n(n);
      if (first) {
        if (n == 0) {
    }
    return -1;                  /* variable length */
  }
  else if (n > limit) {
    pop_n(n);
    genop_2(s, OP_ARRAY, cursp(), n);
    return -1;
  }
  return n;
}

"
Heap-based Buffer Overflow in vim/vim,CVE-2022-0572,CWE-122: Heap-based Buffer Overflow,"     if (ptr[col] == NUL)
  break;
     vcol += chartabsize(ptr + col, (colnr_T)vcol);
     if (vcol >= MAXCOL)
     {
  emsg(_(e_resulting_text_too_long));
  break;
     }
     if (has_mbyte)
  col += (*mb_ptr2len)(ptr + col);
     else
  call assert_equal(""    a       b        c    "",         Retab('!', 3))
  call assert_equal(""    a       b        c    "",         Retab('',  5))
  call assert_equal(""    a       b        c    "",         Retab('!', 5))

  set tabstop& expandtab&
endfunc

func Test_retab_error()
  call assert_fails('ret 80000000000000000000', 'E475:')
endfunc

func Test_retab_endless()
  new
  call setline(1, ""\t0\t"")
  let caught = 'no'
  try
    while 1
      set ts=4000
      retab 4
    endwhile
  catch /E1240/
    let caught = 'yes'
  endtry
  bwipe!
  set tabstop&
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4359,
/**/
    4358,
/**/
"
Use of Out-of-range Pointer Offset in mruby/mruby,CVE-2022-0614,CWE-823: Use of Out-of-range Pointer Offset,"      int lim = a+b*2+1;

      hash = regs[a];
      mrb_ensure_hash_type(mrb, hash);
      for (i=a+1; i<lim; i+=2) {
        mrb_hash_set(mrb, hash, regs[i], regs[i+1]);
      }
"
Out-of-bounds Read in mruby/mruby,CVE-2022-0623,CWE-125: Out-of-bounds Read,"      int lim = a+b*2+1;

      hash = regs[a];
      mrb_ensure_hash_type(mrb, hash);
      for (i=a+1; i<lim; i+=2) {
        mrb_hash_set(mrb, hash, regs[i], regs[i+1]);
      }
"
